Region,Customer Segment,Age Range,Season,Distance (Miles),Staffing Level (Proxy),Track Congestion (Proxy),Total Fare Amount,Communication About Status,Cleanliness,Comfort,Wi-Fi,Food & Beverage,Departure Delay (Minutes),Arrival Delay (Minutes),On-time Performance,Overall Satisfaction
Midwest,Leisure,25-34,Spring,315.4,0.685,0.354,108.34,4.33,5.0,2.67,2.97,3.12,25.9,29.8,3.71,5.0
Northeast,Business,45-54,Spring,537.3,0.626,0.0,167.04,4.26,3.56,3.62,,3.2,25.4,43.3,3.18,5.0
West,Commuter,35-44,Fall,370.1,0.323,0.465,127.53,3.13,4.15,3.48,1.94,2.14,47.0,50.6,2.58,5.0
Midwest,Commuter,45-54,Spring,578.6,0.803,0.0,182.33,,4.17,3.68,3.21,3.66,26.1,45.0,2.98,5.0
Midwest,Leisure,45-54,Summer,219.4,0.2,0.809,99.84,2.64,4.59,2.85,1.85,1.87,58.5,55.9,2.51,4.9
Southeast,Leisure,45-54,Winter,211.3,0.315,0.142,98.3,3.78,4.57,3.75,3.06,2.82,37.3,40.8,3.34,5.0
West,Leisure,25-34,Summer,80.0,0.839,0.104,63.93,4.05,3.39,2.97,3.6,3.15,0.0,0.0,5.0,5.0
Northeast,Commuter,55-64,Spring,150.9,0.2,0.628,78.35,3.84,3.5,3.76,2.88,3.55,31.2,37.2,3.05,5.0
Northeast,Leisure,45-54,Summer,201.9,0.945,0.507,83.48,4.45,5.0,3.89,,2.74,6.3,7.6,5.0,5.0
Northeast,Leisure,25-34,Summer,214.3,0.573,0.0,97.33,4.2,3.95,3.5,4.9,4.21,1.0,3.1,4.88,5.0
Southwest,Business,25-34,Winter,312.1,0.935,0.28,110.43,4.33,4.56,3.73,3.5,4.7,35.5,41.2,3.18,5.0
West,Business,25-34,Winter,161.0,0.907,0.671,77.97,3.91,3.41,4.88,3.29,4.57,37.5,50.9,2.69,5.0
Southeast,Leisure,65+,Winter,167.1,0.677,0.32,78.32,4.03,3.79,4.11,2.54,4.76,10.6,19.4,4.17,5.0
West,Business,35-44,Winter,634.3,0.601,0.476,197.93,4.49,3.48,3.8,3.29,4.08,45.1,55.9,2.55,5.0
Southeast,Leisure,18-24,Summer,34.4,1.0,0.288,50.54,5.0,4.66,4.1,3.09,3.75,3.4,0.2,5.0,5.0
Southwest,Leisure,25-34,Spring,43.8,1.0,0.0,59.18,5.0,4.54,3.83,4.94,2.53,0.0,0.0,4.98,5.0
Northeast,Leisure,18-24,Fall,119.7,0.989,0.217,67.8,2.9,4.83,4.18,3.93,2.69,10.7,8.6,4.25,5.0
Midwest,Leisure,35-44,Winter,42.0,0.581,0.867,51.3,2.91,3.24,3.25,4.38,3.97,62.3,67.2,1.91,5.0
Southwest,Commuter,55-64,Summer,50.1,0.329,0.52,61.39,3.61,4.09,5.0,,1.46,24.9,22.9,3.94,5.0
Midwest,Business,35-44,Summer,173.7,0.564,0.436,73.82,3.01,3.89,3.8,4.28,4.3,47.7,55.9,2.38,5.0
Southeast,Business,55-64,Winter,262.6,0.457,0.4,114.91,,2.36,5.0,2.44,2.55,30.2,40.2,3.03,5.0
West,Leisure,18-24,Summer,169.5,0.304,0.234,72.29,3.24,4.03,5.0,3.4,2.58,17.5,20.2,4.02,5.0
West,Business,35-44,Winter,271.9,0.469,0.807,108.96,3.63,4.61,3.29,2.51,3.79,68.5,67.9,2.07,5.0
Midwest,Commuter,55-64,Fall,340.3,0.464,0.138,122.8,4.02,4.77,3.81,2.92,3.35,34.3,44.2,3.06,5.0
Southwest,Leisure,45-54,Spring,245.2,0.323,0.536,105.44,2.95,3.74,3.85,3.21,2.69,35.4,35.2,3.21,5.0
West,Commuter,55-64,Fall,271.5,0.513,0.581,85.08,3.56,4.35,4.31,,2.28,19.7,25.1,3.6,5.0
Southeast,Business,25-34,Summer,183.2,0.272,0.602,77.58,2.93,4.06,3.67,1.98,1.7,41.7,51.3,2.42,5.0
West,Business,35-44,Spring,160.7,0.846,0.438,96.54,4.17,3.57,4.6,4.18,1.22,29.9,23.4,3.98,5.0
Southeast,Leisure,45-54,Winter,38.9,0.773,0.0,52.27,4.56,3.45,2.5,2.06,4.47,5.8,5.4,4.53,5.0
West,Business,25-34,Winter,350.3,0.318,0.415,123.57,4.19,3.73,3.17,4.54,2.87,34.4,38.8,3.24,5.0
Northeast,Business,55-64,Winter,238.7,0.925,0.0,104.34,4.77,3.92,3.64,2.82,2.39,3.6,6.5,4.8,5.0
Southeast,Commuter,25-34,Spring,259.7,0.931,0.504,109.54,3.4,4.12,3.31,3.88,3.86,35.7,35.2,3.47,5.0
Midwest,Commuter,18-24,Summer,77.1,0.841,0.23,79.54,3.95,3.77,2.54,3.91,2.47,0.0,9.8,4.5,5.0
Midwest,Leisure,55-64,Spring,124.6,0.55,0.0,66.77,4.46,4.0,4.28,2.44,2.43,0.5,3.6,5.0,5.0
West,Commuter,55-64,Winter,177.1,0.57,0.0,99.55,2.94,3.25,2.9,3.7,4.18,27.3,22.7,3.88,5.0
West,Commuter,65+,Winter,100.2,0.339,0.414,75.12,3.47,4.68,3.13,3.33,3.74,39.2,42.7,3.09,5.0
Northeast,Business,65+,Spring,243.0,0.597,0.27,87.0,4.31,2.81,4.21,3.82,3.28,19.7,29.0,3.63,5.0
Southeast,Leisure,25-34,Winter,233.1,0.2,0.491,88.15,4.2,3.65,4.42,4.1,2.54,76.0,80.3,1.35,5.0
Southeast,Leisure,45-54,Summer,224.4,0.224,0.334,104.41,3.05,3.59,3.17,3.81,3.25,40.2,51.2,2.82,5.0
Midwest,Leisure,65+,Spring,347.3,0.634,0.453,134.1,4.08,3.84,2.96,2.61,3.65,24.2,22.8,4.07,5.0
Midwest,Leisure,25-34,Winter,246.4,0.574,0.822,97.26,4.68,3.38,3.1,3.14,3.35,44.7,54.1,2.29,5.0
West,Commuter,35-44,Spring,443.3,0.375,0.686,144.34,3.05,2.88,4.39,2.52,4.17,66.0,73.8,1.52,5.0
West,Leisure,65+,Spring,251.4,0.591,0.421,94.82,4.41,4.04,4.5,,2.22,44.9,46.4,3.03,5.0
Northeast,Business,25-34,Winter,141.3,1.0,0.063,81.58,4.74,3.98,4.04,3.88,2.97,10.9,16.9,4.04,5.0
Midwest,Business,65+,Winter,211.9,0.644,0.997,99.07,3.11,4.15,3.87,3.74,3.63,93.2,100.5,1.0,5.0
Southwest,Business,35-44,Fall,26.2,0.503,0.461,42.0,3.88,2.86,2.73,3.72,2.59,35.7,42.3,3.14,5.0
Midwest,Leisure,65+,Spring,261.4,0.966,0.396,98.36,,5.0,4.12,3.68,4.05,15.5,26.6,3.94,5.0
Northeast,Business,45-54,Summer,127.1,0.548,0.705,73.86,5.0,3.83,4.21,,4.32,46.6,49.4,2.9,5.0
Southeast,Business,45-54,Fall,229.8,0.548,0.468,102.49,2.67,2.05,3.78,2.91,3.16,33.3,31.4,3.34,5.0
Midwest,Business,55-64,Winter,140.0,0.388,0.292,83.85,3.54,3.91,3.76,4.31,3.42,34.4,29.9,3.61,5.0
Northeast,Leisure,18-24,Summer,100.2,0.799,0.076,63.83,4.25,3.72,3.02,3.95,2.97,0.0,0.0,4.94,5.0
West,Business,45-54,Fall,521.2,0.821,0.018,176.7,3.96,3.33,4.56,3.41,2.9,31.5,40.2,3.1,5.0
Southeast,Leisure,65+,Winter,138.3,0.472,0.231,52.4,4.68,4.58,2.69,4.17,4.25,11.8,15.6,4.06,5.0
Midwest,Business,65+,Spring,122.5,0.608,0.324,67.96,3.72,4.46,3.67,2.9,2.37,14.9,19.6,4.32,5.0
Midwest,Leisure,65+,Winter,319.6,0.477,0.148,126.5,3.96,4.04,3.96,3.37,3.84,32.0,40.7,3.15,5.0
West,Leisure,45-54,Winter,173.7,0.723,0.914,88.53,4.26,4.01,4.52,4.01,2.7,36.9,37.0,3.18,5.0
Northeast,Commuter,45-54,Spring,131.7,0.704,0.501,60.8,4.55,4.25,4.45,2.36,2.38,32.0,40.1,3.25,5.0
Northeast,Leisure,45-54,Winter,324.7,0.587,0.374,117.78,3.54,2.95,4.47,5.0,4.02,36.9,49.8,2.73,5.0
Southeast,Commuter,45-54,Fall,208.1,1.0,0.746,79.56,4.66,4.22,3.59,2.95,,14.4,14.5,4.47,5.0
Midwest,Commuter,45-54,Winter,349.5,0.531,0.161,119.68,3.94,4.61,5.0,2.93,2.52,21.6,28.1,3.66,5.0
Southeast,Leisure,18-24,Summer,452.1,0.606,0.367,146.99,3.67,4.53,4.44,3.32,2.97,28.6,40.4,3.11,5.0
West,Leisure,18-24,Winter,170.9,0.775,0.275,81.18,5.0,3.36,3.49,3.97,3.04,14.8,24.0,3.92,5.0
Southeast,Leisure,45-54,Summer,309.6,0.874,0.32,110.36,3.6,4.15,3.56,4.09,3.39,26.8,35.4,3.51,5.0
Northeast,Commuter,25-34,Summer,463.9,0.219,0.464,129.5,3.1,3.04,4.1,4.34,2.6,42.6,49.5,2.62,5.0
Midwest,Business,25-34,Winter,533.4,0.8,0.613,166.01,3.77,4.09,3.41,3.31,4.72,60.1,66.6,1.79,5.0
West,Leisure,25-34,Spring,149.2,0.471,0.759,81.7,3.83,3.38,2.75,3.48,2.1,52.6,51.3,2.77,5.0
West,Business,55-64,Fall,378.3,0.768,0.408,115.35,3.7,3.46,3.79,2.14,1.79,31.8,38.4,3.31,5.0
Southwest,Leisure,65+,Summer,44.3,0.936,0.0,54.16,5.0,4.28,2.19,2.62,3.08,0.0,0.0,5.0,5.0
Midwest,Business,45-54,Fall,249.3,0.596,0.526,102.31,4.14,3.46,3.93,3.21,1.33,30.5,30.4,3.64,5.0
Southwest,Business,65+,Spring,84.5,0.531,0.339,63.31,3.3,3.39,4.11,3.56,2.41,51.9,56.4,2.46,5.0
Southwest,Leisure,65+,Winter,171.0,0.755,0.168,75.78,4.03,4.19,3.54,,2.58,0.0,2.0,5.0,5.0
Southeast,Commuter,25-34,Spring,665.4,0.467,0.633,209.55,3.11,2.94,4.45,3.64,3.11,64.9,79.9,1.43,4.24
Midwest,Leisure,25-34,Spring,353.5,0.971,0.141,112.64,4.67,3.89,4.39,,3.02,24.8,26.7,3.77,5.0
West,Business,25-34,Fall,86.0,0.88,0.0,75.45,4.57,3.12,3.05,3.26,3.39,8.2,13.9,4.21,5.0
Southeast,Business,18-24,Spring,105.9,0.51,0.693,81.81,3.68,3.04,3.68,5.0,2.4,35.2,40.7,3.11,5.0
Southwest,Commuter,45-54,Summer,399.6,0.454,0.137,139.47,2.9,4.53,3.27,3.06,2.75,32.5,45.1,3.05,5.0
Midwest,Business,25-34,Summer,392.2,0.813,0.543,145.96,5.0,3.76,3.52,4.18,3.68,34.0,41.3,3.25,5.0
Midwest,Commuter,65+,Spring,404.0,0.552,0.563,135.25,3.63,3.45,4.47,2.22,,43.6,50.7,2.5,5.0
Northeast,Leisure,45-54,Spring,248.6,0.2,0.826,103.77,2.1,4.21,4.0,3.2,3.42,85.2,92.7,1.0,4.21
Southwest,Commuter,35-44,Fall,352.6,0.767,0.341,125.48,,4.95,3.23,2.83,1.22,38.0,50.2,2.72,5.0
West,Leisure,65+,Winter,176.0,0.2,1.0,69.8,2.46,3.85,3.72,4.66,3.05,83.7,87.1,1.43,5.0
Northeast,Business,65+,Spring,171.2,0.508,0.563,78.4,4.59,4.47,3.12,2.8,3.57,51.1,48.3,3.01,5.0
Southeast,Leisure,55-64,Summer,240.5,0.221,0.308,106.42,3.46,3.38,3.23,3.13,3.32,33.1,36.1,3.35,5.0
Northeast,Commuter,55-64,Winter,130.2,0.585,0.494,71.71,3.56,3.93,4.75,2.63,2.56,30.4,38.4,3.09,5.0
Northeast,Commuter,65+,Summer,116.7,0.642,0.786,70.09,4.52,3.93,5.0,2.57,3.36,34.8,40.2,3.03,5.0
West,Leisure,45-54,Fall,298.4,0.2,0.09,108.45,4.04,3.89,4.81,3.11,2.19,26.6,33.8,3.39,5.0
Midwest,Business,65+,Spring,313.6,0.595,0.652,118.32,4.1,4.48,3.87,3.56,4.36,36.8,41.3,3.41,5.0
Southeast,Business,18-24,Summer,118.6,0.453,0.293,83.16,,2.94,3.76,4.1,3.84,12.6,21.8,3.97,5.0
Southeast,Leisure,45-54,Spring,149.8,0.826,0.079,74.84,3.81,3.48,4.46,2.96,2.31,0.0,0.0,5.0,5.0
West,Business,35-44,Summer,274.4,0.332,0.301,100.99,2.82,3.47,3.67,2.73,4.31,38.4,44.0,2.99,5.0
Southeast,Business,18-24,Winter,261.2,0.2,0.166,109.0,2.31,3.12,2.56,4.19,3.22,54.2,61.4,2.2,5.0
Southwest,Business,18-24,Summer,248.8,0.616,0.214,88.3,4.18,4.05,4.96,4.6,2.11,5.7,12.4,4.37,5.0
Southeast,Leisure,18-24,Spring,122.5,0.384,0.127,82.52,3.4,3.92,2.78,3.17,4.13,22.1,21.3,4.25,5.0
Northeast,Commuter,25-34,Winter,715.7,0.65,0.88,194.43,3.29,3.96,4.54,3.64,4.61,81.2,98.8,1.0,5.0
Southwest,Leisure,18-24,Fall,161.8,0.631,0.343,73.56,3.8,3.67,4.22,4.65,2.9,36.9,42.5,2.87,5.0
Northeast,Business,35-44,Winter,281.0,1.0,0.419,118.91,4.01,4.91,5.0,5.0,3.53,24.9,31.2,3.34,5.0
Southwest,Leisure,55-64,Summer,99.9,0.353,0.464,60.53,3.18,3.91,4.21,3.53,3.06,49.3,53.1,2.73,5.0
Southeast,Leisure,45-54,Fall,208.2,0.491,0.257,81.1,3.5,3.76,3.24,3.87,3.62,37.1,39.1,3.39,5.0
Southwest,Leisure,45-54,Fall,116.8,0.571,0.261,71.0,3.72,3.93,4.43,3.41,3.83,34.5,44.2,2.87,5.0
West,Leisure,18-24,Summer,157.7,0.669,0.343,86.38,4.43,4.38,3.45,2.15,4.02,12.4,21.0,3.99,5.0
Southwest,Business,55-64,Summer,251.5,1.0,0.0,99.86,4.67,4.23,3.12,3.78,1.54,0.0,2.4,5.0,5.0
Northeast,Business,25-34,Summer,438.9,0.74,0.186,140.34,4.5,3.45,2.44,4.47,2.68,12.4,20.5,4.17,5.0
Southwest,Business,25-34,Fall,147.4,0.673,0.667,62.54,,4.99,3.62,2.7,4.0,42.9,50.4,2.73,5.0
West,Business,35-44,Fall,244.4,0.221,0.38,94.55,3.89,3.99,2.38,1.67,2.42,18.7,26.2,3.9,5.0
Southeast,Leisure,65+,Spring,278.9,0.391,0.206,93.36,,3.1,4.62,3.71,,38.5,44.6,2.95,5.0
Southeast,Leisure,65+,Spring,321.8,0.2,0.726,103.66,3.45,2.61,2.46,1.7,2.22,67.6,70.2,1.78,3.33
West,Business,55-64,Winter,55.7,0.631,0.277,57.76,3.75,4.33,3.42,2.07,,12.5,10.2,4.7,5.0
Northeast,Business,55-64,Fall,348.8,0.763,0.0,135.01,4.41,4.76,3.49,2.1,3.19,31.4,38.7,3.15,5.0
Southwest,Business,45-54,Fall,280.7,1.0,0.0,118.41,5.0,4.37,3.92,1.9,3.74,0.0,12.4,4.37,5.0
West,Leisure,45-54,Summer,248.6,0.748,0.0,108.42,4.17,4.34,3.12,4.25,3.51,0.0,9.8,4.81,5.0
Northeast,Commuter,25-34,Summer,689.6,0.83,0.0,199.18,4.19,4.4,4.54,3.54,1.9,16.2,32.6,3.4,5.0
Midwest,Leisure,25-34,Winter,136.3,0.2,0.464,63.64,3.77,3.7,3.67,4.78,4.93,52.3,58.1,2.63,5.0
Midwest,Business,65+,Fall,261.7,0.488,0.332,112.52,3.55,2.84,3.63,3.85,,35.4,31.6,3.6,5.0
Southeast,Leisure,65+,Winter,609.0,0.724,0.094,181.17,3.71,3.54,3.26,5.0,5.0,39.1,52.7,2.63,5.0
West,Business,35-44,Summer,411.7,0.438,0.42,145.28,4.2,4.3,4.02,2.72,1.14,23.5,33.1,3.59,5.0
Northeast,Leisure,25-34,Spring,170.4,0.967,0.236,94.22,4.15,4.44,4.77,3.75,3.25,6.1,3.7,4.95,5.0
Southeast,Business,25-34,Spring,246.4,0.579,0.489,110.81,4.32,3.77,5.0,2.26,1.85,42.9,56.9,2.64,5.0
West,Leisure,35-44,Winter,250.9,0.408,0.448,110.95,3.42,3.47,2.96,3.0,4.54,38.6,45.6,2.91,5.0
Northeast,Business,25-34,Winter,186.2,0.2,0.92,73.89,2.77,3.8,3.46,4.24,2.13,59.1,65.2,2.13,5.0
West,Leisure,45-54,Spring,88.1,0.788,0.0,53.55,4.69,3.79,2.4,3.38,2.17,0.0,0.0,4.93,5.0
Northeast,Business,18-24,Spring,172.2,0.353,0.851,74.18,3.78,3.73,4.08,2.97,3.1,39.8,44.4,2.92,5.0
Midwest,Leisure,25-34,Fall,292.7,0.432,0.164,108.09,4.08,3.9,2.67,3.24,4.37,25.1,31.7,3.59,5.0
Northeast,Leisure,25-34,Summer,169.9,0.363,0.169,80.09,4.1,3.32,3.8,3.34,4.18,10.6,21.9,4.12,5.0
Southwest,Business,55-64,Winter,208.1,0.363,0.582,98.6,2.95,4.26,4.47,3.3,2.87,61.3,69.5,1.73,5.0
West,Leisure,35-44,Fall,441.9,0.807,0.118,157.65,4.84,3.9,3.45,4.48,2.87,21.5,31.3,3.35,5.0
West,Leisure,35-44,Summer,208.9,0.386,0.256,81.78,2.57,4.09,2.96,2.65,3.55,28.4,26.7,3.64,5.0
West,Commuter,45-54,Fall,217.0,0.849,0.426,99.98,3.92,4.06,4.68,3.23,3.12,9.4,8.9,4.52,5.0
Southwest,Commuter,55-64,Fall,233.7,0.537,0.459,91.02,,4.79,4.16,3.35,3.18,35.6,30.2,3.83,5.0
West,Commuter,25-34,Summer,160.4,0.969,0.0,93.52,4.23,4.41,3.0,,3.07,0.0,2.0,4.78,5.0
Midwest,Leisure,55-64,Winter,355.1,0.454,0.572,118.31,3.59,4.07,3.73,,3.64,33.8,43.1,3.13,5.0
West,Business,25-34,Spring,100.1,0.611,0.627,72.44,3.18,4.13,3.09,3.89,3.53,35.2,37.6,3.47,5.0
Southwest,Business,45-54,Summer,159.9,0.471,0.262,94.98,3.32,5.0,4.38,,4.46,27.7,33.6,3.37,5.0
West,Leisure,35-44,Winter,247.2,0.998,0.299,96.54,4.72,4.07,3.89,5.0,2.63,9.5,23.2,4.16,5.0
Southeast,Business,65+,Fall,176.3,0.804,0.459,97.38,3.88,4.1,4.81,4.68,,29.8,29.6,3.75,5.0
Midwest,Leisure,65+,Spring,506.1,0.75,0.0,142.94,3.67,4.04,3.07,3.54,3.07,8.5,14.9,4.18,5.0
Southwest,Commuter,55-64,Summer,218.2,0.352,0.433,101.35,3.48,2.6,3.76,3.66,2.89,28.8,33.8,3.42,5.0
Northeast,Business,65+,Fall,214.7,0.652,0.058,96.11,,3.98,3.69,3.97,3.91,26.9,25.1,3.75,5.0
Northeast,Business,25-34,Fall,118.4,0.776,0.124,60.86,5.0,4.6,3.91,3.85,,0.0,2.2,4.86,5.0
West,Business,45-54,Summer,178.6,0.604,0.0,85.61,3.91,4.21,3.28,3.42,4.26,5.9,7.7,4.71,5.0
Midwest,Leisure,25-34,Spring,346.4,0.613,0.666,125.87,4.21,4.81,2.11,5.0,2.87,36.8,38.7,3.16,5.0
Northeast,Leisure,25-34,Summer,140.7,0.673,0.329,80.45,3.97,4.41,4.18,2.76,4.2,23.8,21.5,4.08,5.0
Southeast,Business,45-54,Summer,66.1,0.586,0.367,57.63,4.47,4.19,3.71,2.99,,13.9,13.3,4.43,5.0
Southeast,Business,55-64,Fall,197.3,0.738,0.398,99.64,3.85,4.5,3.14,3.41,4.07,42.2,43.5,2.88,5.0
Southwest,Business,55-64,Winter,224.3,0.777,0.541,89.6,4.04,4.21,3.38,3.87,3.72,33.3,36.5,3.41,5.0
West,Leisure,55-64,Winter,166.6,0.595,0.0,75.76,5.0,3.73,2.86,4.95,4.12,20.8,29.6,3.82,5.0
West,Business,45-54,Winter,445.6,0.593,0.764,144.8,3.2,3.82,2.38,3.26,2.85,40.3,53.5,2.55,5.0
Southwest,Leisure,65+,Fall,664.4,0.721,0.463,191.31,4.17,2.53,4.44,3.8,3.38,41.0,56.0,2.59,5.0
Southwest,Leisure,65+,Summer,246.3,0.894,0.014,77.06,5.0,5.0,4.17,3.76,2.57,17.1,24.8,3.73,5.0
Southeast,Commuter,55-64,Summer,177.4,0.394,0.661,61.98,3.75,3.68,2.67,,2.53,55.3,54.9,2.76,5.0
West,Business,25-34,Winter,292.8,0.516,0.52,100.01,3.22,3.23,5.0,4.25,3.38,44.3,52.8,2.71,5.0
Northeast,Business,45-54,Winter,447.3,0.81,0.09,144.38,3.52,3.79,2.95,3.76,,43.5,48.5,2.92,5.0
Northeast,Commuter,55-64,Summer,147.7,0.619,0.455,82.01,3.0,4.96,4.19,4.09,3.51,30.1,35.5,3.3,5.0
West,Leisure,65+,Summer,336.1,0.2,0.723,104.3,4.19,3.74,3.56,2.87,3.16,52.4,66.5,2.11,5.0
West,Commuter,18-24,Spring,197.1,0.348,0.562,100.46,3.21,3.93,2.72,2.75,2.82,11.2,19.2,4.19,5.0
Southeast,Business,35-44,Winter,397.9,1.0,0.505,139.7,4.89,5.0,4.04,3.17,4.03,36.0,47.6,2.97,5.0
Southwest,Business,35-44,Spring,118.5,0.305,0.962,83.79,2.86,4.25,3.46,3.36,,51.7,49.9,2.95,5.0
Midwest,Leisure,25-34,Summer,478.4,0.746,0.18,145.42,5.0,3.8,3.28,4.27,3.38,6.7,16.3,4.19,5.0
Southeast,Leisure,55-64,Winter,251.0,0.786,0.539,80.24,3.23,2.97,4.66,5.0,4.19,34.4,40.7,3.36,5.0
Southeast,Leisure,18-24,Spring,292.3,0.235,0.278,122.13,3.58,4.1,4.01,3.31,3.69,16.7,26.9,3.9,5.0
Northeast,Leisure,35-44,Summer,106.3,0.397,0.877,65.81,4.47,3.39,4.12,4.66,3.05,41.9,41.3,2.96,5.0
Midwest,Leisure,55-64,Winter,104.2,0.407,0.12,71.04,3.41,4.2,3.47,3.75,1.47,16.3,18.2,4.42,5.0
Midwest,Business,35-44,Winter,265.8,0.725,1.0,105.18,3.82,3.93,3.96,2.76,2.84,79.5,91.6,1.0,4.55
Midwest,Business,25-34,Summer,297.4,0.875,1.0,116.91,,4.28,3.74,3.45,5.0,58.6,65.0,2.1,5.0
Northeast,Leisure,45-54,Winter,187.0,0.47,0.204,69.02,4.04,4.37,3.99,3.88,2.87,25.6,20.5,4.11,5.0
West,Business,45-54,Spring,315.3,0.714,0.696,111.99,4.59,2.92,3.03,3.99,3.14,41.5,43.5,2.9,5.0
Southwest,Commuter,65+,Summer,105.8,0.463,0.801,84.78,3.1,3.91,1.98,2.82,3.25,53.8,53.5,2.72,5.0
West,Business,55-64,Winter,83.7,0.644,0.198,78.05,4.99,3.91,4.64,3.05,3.51,17.2,15.0,4.26,5.0
Northeast,Business,65+,Summer,234.6,0.432,0.193,106.38,4.25,3.99,3.62,2.99,2.5,14.1,20.1,3.9,5.0
Southwest,Business,25-34,Fall,103.1,1.0,0.524,71.91,,4.4,4.2,3.29,3.88,44.2,51.1,2.58,5.0
West,Leisure,55-64,Fall,67.4,0.2,0.591,61.26,2.94,3.79,3.08,3.37,3.41,44.3,51.3,2.42,5.0
Southeast,Leisure,45-54,Spring,124.7,0.572,0.881,79.93,3.33,3.5,3.51,4.75,1.56,59.8,68.2,1.73,5.0
Northeast,Commuter,55-64,Spring,291.5,0.354,0.728,111.99,3.3,3.1,4.67,2.83,1.0,41.9,45.7,3.09,5.0
Southeast,Business,35-44,Summer,248.0,0.924,0.071,107.52,3.63,3.11,4.03,2.15,2.7,3.2,7.6,4.43,5.0
Southeast,Business,25-34,Summer,450.5,0.993,0.314,150.01,5.0,4.17,5.0,2.1,2.11,23.4,32.4,3.6,5.0
Midwest,Commuter,18-24,Summer,257.7,0.499,0.0,113.33,3.93,4.17,4.27,3.95,3.38,1.6,18.8,4.07,5.0
Southeast,Leisure,55-64,Spring,108.6,0.357,0.43,56.47,2.82,3.57,3.14,2.76,2.73,45.8,49.9,2.91,5.0
Southeast,Leisure,55-64,Winter,302.7,0.431,0.153,106.53,3.53,4.31,3.94,3.47,3.51,13.3,19.1,4.14,5.0
Southwest,Business,25-34,Winter,145.1,0.942,0.19,61.59,4.21,4.0,4.96,2.89,3.62,0.6,0.3,4.81,5.0
Northeast,Leisure,45-54,Fall,184.8,0.723,0.892,75.3,4.49,3.91,3.87,3.18,2.24,43.0,51.9,2.75,5.0
Southeast,Business,55-64,Spring,146.8,0.609,0.351,77.77,4.33,3.04,4.13,3.05,2.79,18.0,16.3,4.21,5.0
Southwest,Commuter,45-54,Spring,98.6,0.818,0.0,76.13,4.49,3.74,4.73,2.88,2.67,5.4,8.8,4.7,5.0
Northeast,Business,25-34,Summer,860.2,0.983,0.26,258.65,3.94,4.64,2.15,4.46,4.04,54.6,71.8,1.82,5.0
Southeast,Leisure,65+,Winter,131.2,0.848,0.542,64.94,4.05,4.86,4.25,4.43,3.01,46.0,47.6,2.7,5.0
Northeast,Business,45-54,Spring,60.9,0.631,0.706,60.52,4.47,3.8,4.63,3.79,4.25,72.1,81.3,1.32,5.0
Northeast,Leisure,55-64,Spring,323.3,0.2,0.312,105.31,3.39,4.22,3.02,4.78,4.22,27.2,36.2,3.29,5.0
Midwest,Commuter,45-54,Winter,49.2,0.629,0.77,60.3,4.24,4.76,4.42,2.22,,38.8,44.2,2.97,5.0
Northeast,Leisure,55-64,Summer,198.1,0.655,0.709,105.75,3.73,3.37,3.69,3.12,2.6,37.8,37.4,3.3,5.0
Southeast,Commuter,25-34,Winter,351.3,0.447,0.051,123.81,4.95,4.01,2.45,2.99,2.3,22.2,33.7,3.24,5.0
West,Business,65+,Winter,90.0,0.477,0.0,54.11,3.2,3.95,4.2,3.86,3.73,0.6,8.3,4.67,5.0
West,Leisure,25-34,Summer,218.4,0.397,0.61,88.47,3.88,4.44,3.61,2.19,2.99,53.5,59.2,2.29,5.0
Northeast,Business,55-64,Spring,180.2,0.232,0.284,91.65,2.91,3.21,3.52,3.7,2.39,25.3,27.4,3.57,5.0
Southeast,Leisure,65+,Summer,129.7,0.666,0.0,65.4,5.0,4.12,4.15,2.21,3.94,0.0,0.0,4.82,5.0
Midwest,Business,45-54,Summer,451.2,0.707,0.0,147.14,4.76,3.8,3.05,3.98,3.97,13.5,22.8,3.71,5.0
West,Commuter,45-54,Winter,179.3,0.901,0.441,107.55,3.46,4.31,4.31,4.34,2.33,23.6,26.7,4.09,5.0
West,Commuter,25-34,Summer,319.5,0.307,0.793,112.66,2.77,4.49,2.95,,3.39,56.0,60.2,2.29,5.0
Northeast,Leisure,35-44,Winter,368.3,0.773,0.688,109.83,4.95,4.87,4.79,3.05,3.68,28.6,38.1,3.34,5.0
Northeast,Business,45-54,Spring,192.9,0.699,0.417,87.59,4.12,4.69,4.51,4.29,4.67,43.7,48.6,3.03,5.0
Midwest,Commuter,18-24,Summer,110.1,0.2,0.827,66.37,,3.11,4.64,4.21,2.89,37.1,38.0,3.7,5.0
West,Commuter,25-34,Spring,373.3,0.631,0.571,116.88,3.95,3.63,4.01,2.15,3.13,43.3,49.5,2.67,5.0
West,Leisure,65+,Spring,198.3,0.751,0.184,78.65,3.95,4.58,3.43,3.68,3.75,16.3,13.7,4.31,5.0
Northeast,Leisure,35-44,Winter,211.5,0.508,0.621,106.82,4.1,4.22,3.15,3.76,4.24,56.1,59.9,2.15,5.0
Midwest,Commuter,35-44,Spring,172.3,0.49,0.297,72.25,3.24,3.69,3.1,,3.46,35.0,33.6,3.46,5.0
Northeast,Leisure,25-34,Spring,365.7,0.606,0.196,100.78,4.35,3.35,3.56,4.47,3.32,12.6,18.5,3.89,5.0
Southwest,Leisure,45-54,Fall,101.2,1.0,0.416,72.91,4.19,1.76,3.32,3.02,2.69,23.6,27.0,3.98,5.0
